sample	pop
1061	SWE-S
5836	SWE-S
5856	SWE-N
5860	SWE-N
6009	SWE-N
6030	SWE-N
6034	SWE-S
6043	SWE-N
6070	SWE-N
6100	SWE-S
6104	SWE-S
6114	SWE-S
6122	SWE-S
6150	SWE-S
6153	SWE-N
6154	SWE-N
6220	SWE-N
6231	SWE-N
6238	SWE-N
6243	SWE-S
6244	SWE-N
6413	SWE-S
6900	SWE-N
7025	IT-N
7333	IT-N
7354	SWE-S
8222	SWE-S
8227	SWE-N
8231	SWE-S
8258	SWE-S
8376	SWE-N
9321	SWE-N
9363	SWE-N
9371	SWE-N
9395	SWE-S
9408	SWE-S
9409	SWE-S
9421	SWE-S
9427	SWE-N
9433	SWE-N
9436	SWE-S
9471	SWE-S
9646	IT-S
9647	IT-S
9648	IT-S
9651	IT-S
9653	IT-S
9655	IT-S
9656	IT-S
9657	IT-S
9659	IT-S
9660	IT-S
9661	IT-S
9664	IT-N
9665	IT-N
9667	IT-N
9669	IT-N
9670	IT-N
9671	IT-N
9672	IT-N
9676	IT-N
9677	IT-N
9679	IT-N
9685	IT-N
9687	IT-N
9693	IT-N
9695	IT-N
9962	IT-S
9963	IT-S
9964	IT-S
9965	IT-S
9966	IT-S
9969	IT-S
9970	IT-N
9971	IT-N
9974	IT-N
9975	IT-N
9980	IT-S
9981	IT-S
9982	IT-S
