sample	pop
1061	SWE
5836	SWE
5856	SWE
5860	SWE
6009	SWE
6030	SWE
6034	SWE
6043	SWE
6070	SWE
6100	SWE
6104	SWE
6114	SWE
6122	SWE
6150	SWE
6153	SWE
6154	SWE
6220	SWE
6231	SWE
6238	SWE
6243	SWE
6244	SWE
6413	SWE
6900	SWE
7025	IT
7333	IT
7354	SWE
8222	SWE
8227	SWE
8231	SWE
8258	SWE
8376	SWE
9321	SWE
9363	SWE
9371	SWE
9395	SWE
9408	SWE
9409	SWE
9421	SWE
9427	SWE
9433	SWE
9436	SWE
9471	SWE
9646	IT
9647	IT
9648	IT
9651	IT
9653	IT
9655	IT
9656	IT
9657	IT
9659	IT
9660	IT
9661	IT
9664	IT
9665	IT
9667	IT
9669	IT
9670	IT
9671	IT
9672	IT
9676	IT
9677	IT
9679	IT
9685	IT
9687	IT
9693	IT
9695	IT
9962	IT
9963	IT
9964	IT
9965	IT
9966	IT
9969	IT
9970	IT
9971	IT
9974	IT
9975	IT
9980	IT
9981	IT
9982	IT
